,date,daily_vaccinations
642,2021-01-12,0.0
643,2021-01-13,75188.0
644,2021-01-14,79496.0
645,2021-01-15,85553.0
646,2021-01-16,88381.0
647,2021-01-17,90079.0
648,2021-01-18,91210.0
649,2021-01-19,92018.0
650,2021-01-20,91549.0
651,2021-01-21,94083.0
652,2021-01-22,104389.0
653,2021-01-23,119770.0
654,2021-01-24,133316.0
655,2021-01-25,138153.0
656,2021-01-26,140878.0
657,2021-01-27,149620.0
658,2021-01-28,159000.0
659,2021-01-29,158126.0
660,2021-01-30,155366.0
661,2021-01-31,155063.0
662,2021-02-01,160379.0
663,2021-02-02,156749.0
664,2021-02-03,155950.0
665,2021-02-04,139561.0
666,2021-02-05,144296.0
667,2021-02-06,148831.0
668,2021-02-07,171402.0
669,2021-02-08,175654.0
670,2021-02-09,177237.0
671,2021-02-10,183712.0
672,2021-02-11,201580.0
673,2021-02-12,202925.0
674,2021-02-13,203565.0
675,2021-02-14,190746.0
676,2021-02-15,190404.0
677,2021-02-16,203788.0
678,2021-02-17,195102.0
679,2021-02-18,194468.0
680,2021-02-19,231928.0
681,2021-02-20,234166.0
682,2021-02-21,233297.0
683,2021-02-22,227005.0
684,2021-02-23,216733.0
685,2021-02-24,221857.0
686,2021-02-25,223997.0
687,2021-02-26,192335.0
688,2021-02-27,194965.0
689,2021-02-28,195368.0
690,2021-03-01,214479.0
691,2021-03-02,252715.0
692,2021-03-03,265023.0
693,2021-03-04,256584.0
694,2021-03-05,251504.0
695,2021-03-06,264079.0
696,2021-03-07,259101.0
697,2021-03-08,242771.0
698,2021-03-09,204065.0
699,2021-03-10,190191.0
700,2021-03-11,194328.0
701,2021-03-12,193794.0
702,2021-03-13,209548.0
703,2021-03-14,178375.0
704,2021-03-15,214448.0
705,2021-03-16,251553.0
706,2021-03-17,299789.0
707,2021-03-18,334655.0
708,2021-03-19,350707.0
709,2021-03-20,342038.0
710,2021-03-21,403543.0
711,2021-03-22,392009.0
712,2021-03-23,380370.0
713,2021-03-24,361552.0
714,2021-03-25,357025.0
715,2021-03-26,377779.0
716,2021-03-27,381256.0
717,2021-03-28,375263.0
718,2021-03-29,378982.0
719,2021-03-30,367579.0
720,2021-03-31,361646.0
721,2021-04-01,363128.0
722,2021-04-02,351209.0
723,2021-04-03,357814.0
724,2021-04-04,375343.0
725,2021-04-05,372228.0
726,2021-04-06,366223.0
727,2021-04-07,377497.0
728,2021-04-08,377051.0
729,2021-04-09,391393.0
730,2021-04-10,404572.0
731,2021-04-11,398820.0
732,2021-04-12,388844.0
733,2021-04-13,391650.0
734,2021-04-14,407905.0
735,2021-04-15,428384.0
736,2021-04-16,474575.0
737,2021-04-17,469733.0
738,2021-04-18,476835.0
739,2021-04-19,486322.0
740,2021-04-20,494575.0
741,2021-04-21,470327.0
742,2021-04-22,448969.0
743,2021-04-23,382776.0
744,2021-04-24,390331.0
745,2021-04-25,386663.0
746,2021-04-26,387965.0
747,2021-04-27,383386.0
748,2021-04-28,375225.0
